idvisit,idvisitor,idaction_name,document,documenttime,documenttime_formatted,clone_name,search_cat,value,searchtime,searchtime_formatted,action,keyw_5,display_title_s,display_org_s,filename,display_source_s,crawler_used_s,doc_type,display_doc_type_s
41628,649A714086686CD4,12122,MIL-STD-188_331 Base Document 1994-03-29.pdf,Mon Nov 14 2022 13:14:55 GMT+0000 (Coordinated Universal Time),2022-11-14 13:14:00, gamechanger,GAMECHANGER_gamechanger_combined,desktop,Mon Nov 14 2022 13:14:51 GMT+0000 (Coordinated Universal Time),2022-11-14 13:14,Search,,MIL-STD-188_331 Base Document 1994-03-29.pdf,,,,,,
41613,649A714086686CD4,12119,STP 10-92Y12-SM-TG.pdf,Mon Nov 14 2022 12:27:13 GMT+0000 (Coordinated Universal Time),2022-11-14 12:27:00, gamechanger,GAMECHANGER_gamechanger_combined,laptop,Mon Nov 14 2022 12:27:00 GMT+0000 (Coordinated Universal Time),2022-11-14 12:27,Search,performance measures; soldier no-; document number; da form; property book; lateral transfer; ar 25-400-2; ammunition screen; stock number; pbuse em,STP 10-92Y12-SM-TG: SOLDIER`S MANUAL AND TRAINER`S GUIDE; MOS 92Y; UNIT SUPPLY SPECIALIST; SKILL LEVELS 1 AND 2,Dept. of the Army,STP 10-92Y12-SM-TG.pdf,,,STP,Document
41613,649A714086686CD4,12119,STP 10-92Y12-SM-TG.pdf,Mon Nov 14 2022 12:27:12 GMT+0000 (Coordinated Universal Time),2022-11-14 12:27:00, gamechanger,GAMECHANGER_gamechanger_combined,laptop,Mon Nov 14 2022 12:27:00 GMT+0000 (Coordinated Universal Time),2022-11-14 12:27,Search,performance measures; soldier no-; document number; da form; property book; lateral transfer; ar 25-400-2; ammunition screen; stock number; pbuse em,STP 10-92Y12-SM-TG: SOLDIER`S MANUAL AND TRAINER`S GUIDE; MOS 92Y; UNIT SUPPLY SPECIALIST; SKILL LEVELS 1 AND 2,Dept. of the Army,STP 10-92Y12-SM-TG.pdf,,,STP,Document
41608,71339E3B3F85E3B4,169,A-A-59326_17 Revision A Notice 1 - Validation 2008-11-20.pdf,Mon Nov 14 2022 12:18:18 GMT+0000 (Coordinated Universal Time),2022-11-14 12:18:00, gamechanger,GAMECHANGER_gamechanger_combined,a,Mon Nov 14 2022 12:18:05 GMT+0000 (Coordinated Universal Time),2022-11-14 12:18,Search,,A-A-59326_17 Revision A Notice 1 - Validation 2008-11-20.pdf,,,,,,
41608,71339E3B3F85E3B4,169,Title 5 - Appendix.pdf,Mon Nov 14 2022 12:18:01 GMT+0000 (Coordinated Universal Time),2022-11-14 12:18:00, gamechanger,GAMECHANGER_gamechanger_combined,a,Mon Nov 14 2022 12:17:57 GMT+0000 (Coordinated Universal Time),2022-11-14 12:17,Search,united states; reorganization act; inspector general; effective date; reorganization plan; general services; national security; public works; federal government; statutory notes,Title 5: Appendix,United States Code,Title 5 - Appendix.pdf,,,Title,Title
41608,71339E3B3F85E3B4,169,A-A-20259 Base Document 1997-07-16.pdf,Mon Nov 14 2022 12:17:52 GMT+0000 (Coordinated Universal Time),2022-11-14 12:17:00, gamechanger,GAMECHANGER_gamechanger_combined,a,Mon Nov 14 2022 12:15:08 GMT+0000 (Coordinated Universal Time),2022-11-14 12:15,Search,,A-A-20259 Base Document 1997-07-16.pdf,,,,,,
41608,71339E3B3F85E3B4,169,A-A-20259 Base Document 1997-07-16.pdf,Mon Nov 14 2022 12:17:51 GMT+0000 (Coordinated Universal Time),2022-11-14 12:17:00, gamechanger,GAMECHANGER_gamechanger_combined,a,Mon Nov 14 2022 12:15:08 GMT+0000 (Coordinated Universal Time),2022-11-14 12:15,Search,,A-A-20259 Base Document 1997-07-16.pdf,,,,,,
41608,71339E3B3F85E3B4,169,A-A-20335 Base Document 2000-11-20.pdf,Mon Nov 14 2022 12:17:27 GMT+0000 (Coordinated Universal Time),2022-11-14 12:17:00, gamechanger,GAMECHANGER_gamechanger_combined,a,Mon Nov 14 2022 12:15:08 GMT+0000 (Coordinated Universal Time),2022-11-14 12:15,Search,,A-A-20335 Base Document 2000-11-20.pdf,,,,,,
41608,71339E3B3F85E3B4,169,A-A-20335 Base Document 2000-11-20.pdf,Mon Nov 14 2022 12:17:21 GMT+0000 (Coordinated Universal Time),2022-11-14 12:17:00, gamechanger,GAMECHANGER_gamechanger_combined,a,Mon Nov 14 2022 12:15:08 GMT+0000 (Coordinated Universal Time),2022-11-14 12:15,Search,,A-A-20335 Base Document 2000-11-20.pdf,,,,,,
41608,71339E3B3F85E3B4,169,A-A-1733 Revision A 1993-10-14.pdf,Mon Nov 14 2022 12:15:12 GMT+0000 (Coordinated Universal Time),2022-11-14 12:15:00, gamechanger,GAMECHANGER_gamechanger_combined,a,Mon Nov 14 2022 12:15:08 GMT+0000 (Coordinated Universal Time),2022-11-14 12:15,Search,,A-A-1733 Revision A 1993-10-14.pdf,,,,,,
41613,649A714086686CD4,4356,MIL-HDBK-1379_4 Base Document 1997-06-09.pdf,Mon Nov 14 2022 12:11:26 GMT+0000 (Coordinated Universal Time),2022-11-14 12:11:00, gamechanger,GAMECHANGER_gamechanger_combined,computer,Mon Nov 14 2022 12:11:17 GMT+0000 (Coordinated Universal Time),2022-11-14 12:11,Search,,MIL-HDBK-1379_4 Base Document 1997-06-09.pdf,,,,,,
