Northwestern Division,CENWD,GCORG
Office of Economic Adjustment,OEA,GCORG
Office of Naval Intelligence,ONI,GCORG
Office of Naval Research,ONR,GCORG
Office of the Chief Management Officer,OCMO,GCORG
Office of the Director of National Intelligence,ODNI,GCORG
Organization of the Joint Chiefs of Staff,OJCS,GCORG
Pacific Air Forces,PACAF,GCORG
Pacific Ocean Division,CEPOD,GCORG
Pentagon Force Protection Agency,PFPA,GCORG
Principal Deputy Under Secretary of Defense for Personnel and Readiness,PDUSD(P&R),GCPER
Protecting Critical Technology Task Force,PCTTF,GCORG
Secretary of Defense,SecDef,GCPER
Selective Service System,SSS,GCORG
Sergeant Major of the Army,SMA,GCPER
Sergeant Major of the Marine Corps,SMMC,GCPER
South Atlantic Division,CESAD,GCORG
South Pacific Division,CESPD,GCORG
Southwestern Division,CESWD,GCORG
Space Development Agency,SDA,GCORG
Space and Missile Systems Center,SMC,GCORG
Supreme Court of the United States,SCOTUS,GCORG
Topographic Engineering Center,CETEC,GCORG
U.S. Department of Homeland Security,DHS,GCORG
U.S. Africa Command,USAFRICOM,GCORG
U.S. Army Corps of Engineers,USACE,GCORG
U.S. Army Criminal Investigation Command,CIC,GCORG
U.S. Army Financial Management,USAFMCOM,GCORG
U.S. Central Command,USCENTCOM,GCORG
U.S. Coast Guard,USCG,GCORG
U.S. Cyber Command,USCYBERCOM,GCORG
U.S. European Command,USEUCOM,GCORG
U.S. Indo-Pacific Command,USINDOPACOM,GCORG
U.S. Northern Command,USNORTHCOM,GCORG
U.S. Southern Command,USSOUTHCOM,GCORG
U.S. Special Operations Command,USSOCOM,GCORG
U.S. Strategic Command,USSTRATCOM,GCORG
U.S. Transportation Command,USTRANSCOM,GCORG
Under Secretary of Defense (Comptroller)/Chief Financial Officer,USD(C/CFO),GCPER
Under Secretary of Defense for Acquisition and Sustainment,USD(A&S),GCPER
Under Secretary of Defense for Intelligence,USD(I),GCPER
Under Secretary of Defense for Personnel and Readiness,USD(P&R),GCPER
Under Secretary of Defense for Policy,USD(P),GCPER
Under Secretary of Defense for Research and Engineering,USD(R&E),GCPER
"Under Secretary of Defense, Comptroller",CFO,GCPER
Unified Combatant Commands,UCC,GCORG
Uniformed Services University of the Health Sciences,USUHS,GCORG
United States Air Force,USAF,GCORG
United States Air Forces in Europe,USAFE,GCORG
United States Central Command,USCENTCOM,GCORG
United States Coast Guard,USCG,GCORG
United States Court of Appeals for the Armed Forces,"",GCORG
United States Department of Defense,DOD,GCORG
United States Department of Homeland Security,DHS,GCORG
United States European Command,USEUCOM,GCORG
United States Indo-Pacific Command,USINDOPACOM,GCORG
United States Marine Corps,USMC,GCORG
United States Marine Corps Criminal Investigation Division,USMC CID,GCORG
United States Military Entrance Processing Command,USMEPCOM,GCORG
United States Naval Academy,USNA,GCORG
United States Northern Command,USNORTHCOM,GCORG
United States Southern Command,USSOUTHCOM,GCORG
United States Space Force,USSF,GCORG
United States Special Operations Command,USSOCOM,GCORG
United States Strategic Command,USSTRATCOM,GCORG
United States Transportation Command,USTRANSCOM,GCORG
Veterans Benefits Administration,VBA,GCORG
Veterans Day National Committee,VDNC,GCORG
Veterans Employment and Training Service,VETS,GCORG
Veterans Health Administration,VHA,GCORG
"Vice Chairman, Joint Chiefs of Staff",VJCS,GCPER
"Vice Director, Joint Staff","",GCPER
Washington Headquarters Services,WHS,GCPER
Waterways Experiment Station,CEWES,GCPER
White Sands Missile Range,WSMR,GCPER
"Commander, Special Operations Joint Task Force",CDRSOJTF,GCPER
"Commander, Theater Special Operations Command",CDRTSOC,GCPER
